Hora,Ruta,X,Y,Direccion,Dia,Festivo
65700,39,21.88133,-102.292279,2,1,1
65800,42,21.91808,-102.248128,2,1,1
65900,42,21.916223,-102.24891,2,1,1
70000,42,21.913523,-102.252475,2,1,1
70100,42,21.91238,-102.251962,2,1,1
70200,42,21.91119,-102.253758,2,1,1
70300,42,21.909798,-102.253463,2,1,1
70400,42,21.908358,-102.256015,2,1,1
70500,42,21.907157,-102.256579,2,1,1
70600,42,21.906966,-102.257092,2,1,1
70700,42,21.899749,-102.25368,2,1,1
70800,42,21.89637,-102.253385,2,1,1
70900,42,21.892669,-102.253667,2,1,1
71000,42,21.869138,-102.244184,2,1,1
71100,42,21.86649,-102.245236,2,1,1
71200,42,21.865354,-102.246802,2,1,1
71300,42,21.858037,-102.250815,2,1,1
71400,42,21.856315,-102.252757,2,1,1
71500,42,21.852246,-102.269316,2,1,1
71600,42,21.859944,-102.26938,2,1,1
71700,42,21.860083,-102.282802,2,1,1
71800,42,21.857813,-102.282888,2,1,1
71900,42,21.846719,-102.281007,2,1,1
72000,42,21.842655,-102.280241,2,1,1
72100,42,21.836682,-102.280254,2,1,1
72200,42,21.834975,-102.288808,2,1,1
60100,20,21.879953,-102.251802,2,1,1
60200,20,21.883964,-102.256744,2,1,1
60300,20,21.886209,-102.255795,2,1,1
60400,20,21.8927,-102.258337,2,1,1
60500,20,21.89717,-102.258938,2,1,1
60600,20,21.896285,-102.265436,2,1,1
60700,20,21.894643,-102.267538,2,1,1
60800,20,21.896564,-102.271154,2,1,1
60900,20,21.899431,-102.270811,2,1,1
61000,20,21.900018,-102.27301,2,1,1
61100,20,21.896029,-102.278457,2,1,1
61200,20,21.9024,-102.283586,2,1,1
61300,20,21.902738,-102.285088,2,1,1
61400,20,21.900746,-102.292287,2,1,1
61500,20,21.898218,-102.301599,2,1,1
61600,20,21.895779,-102.310161,2,1,1
61700,20,21.8942,-102.311954,2,1,1
61800,20,21.89203,-102.312695,2,1,1
61900,20,21.881437,-102.312523,2,1,1
62000,20,21.874498,-102.312062,2,1,1
62100,20,21.868753,-102.310259,2,1,1
62200,20,21.867867,-102.30909,2,1,1
62300,20,21.866025,-102.298479,2,1,1
62400,20,21.865315,-102.2945,2,1,1
62500,20,21.86591,-102.287746,2,1,1
62600,20,21.866517,-102.281888,2,1,1
62700,20,21.868439,-102.276084,2,1,1
62800,20,21.869704,-102.272447,2,1,1
62900,20,21.871098,-102.271073,2,1,1
63000,20,21.873079,-102.270644,2,1,1
63100,20,21.878067,-102.271513,2,1,1
63200,20,21.884025,-102.272577,2,1,1
63300,20,21.88973,-102.27351,2,1,1
63400,20,21.893224,-102.276268,2,1,1
63500,20,21.895991,-102.278456,2,1,1
